name,vertices,edges,chromatic_number,image_path,leap_1_structure,leap_1_order,leap_2_structure,leap_2_order
6‐graph 129,6,10,4,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_180.png,S6,720,S6,720
6‐graph 130,6,10,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_181.png,S6,720,S6,720
"(2,3)‐king graph",6,11,4,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_182.png,S6,720,S6,720
8‐matchstick graph 75,6,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_183.png,(S3 x S3) : C2,72,S3 x S3,36
Beineke graph 7,6,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_184.png,S6,720,S6,720
"(6,9,1)‐unit distance forbidden subgraph",6,9,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_185.png,S6,720,S6,720
6‐wheel graph,6,10,4,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_186.png,S6,720,S6,720
3‐prism graph,6,9,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_187.png,S6,720,S6,720
6‐path complement graph,6,10,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_188.png,S6,720,S6,720
6‐graph 144,6,10,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_189.png,S6,720,S6,720
hexahedral graph 4,6,11,4,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_190.png,S6,720,S6,720
tritetrahedral graph,6,12,4,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_191.png,S6,720,S6,720
6‐graph 136,6,10,4,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_192.png,S6,720,S6,720
6‐graph 135,6,10,4,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_193.png,S6,720,S6,720
6‐graph 137,6,11,4,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_194.png,S6,720,S6,720
6‐graph 133,6,10,4,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_195.png,C2 x S4,48,S4,24
pentatope and singleton,6,10,5,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_196.png,1,1,1,1
"(5,1)‐lollipop graph",6,11,5,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_197.png,C2 x S4,48,S4,24
6‐graph 138,6,12,5,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_198.png,S6,720,S6,720
6‐graph 148,6,13,5,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_199.png,S6,720,S6,720
"(2,4)‐fan graph",6,11,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_200.png,S6,720,S6,720
6‐graph 150,6,11,4,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_201.png,S6,720,S6,720
6‐graph 149,6,11,4,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_202.png,S6,720,S6,720
biggest little hexagon graph,6,12,4,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_203.png,S6,720,S6,720
octahedral graph,6,12,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_204.png,S6,720,S6,720
"(2,3)‐queen graph",6,13,4,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_205.png,S6,720,S6,720
"(1,1,1,1,2)‐complete 5‐partite graph",6,14,5,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_206.png,S6,720,S6,720
6‐complete graph,6,15,6,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_207.png,S6,720,S6,720
7‐empty graph,7,0,1,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_208.png,1,1,1,1
2‐path and five singletons,7,1,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_209.png,1,1,1,1
3‐path and four singletons,7,2,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_210.png,1,1,1,1
claw and three singletons,7,3,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_211.png,1,1,1,1
"(1,4)‐bipartite graph and two singletons",7,4,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_212.png,1,1,1,1
"(1,5)‐bipartite graph and singleton",7,5,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_213.png,1,1,1,1
7‐star graph,7,6,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_214.png,1,1,1,1
two 2‐paths and three singletons,7,2,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_215.png,1,1,1,1
4‐path and three singletons,7,3,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_216.png,1,1,1,1
"3‐path, 2‐path, and two singletons",7,3,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_217.png,1,1,1,1
triangle and four singletons,7,3,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_218.png,1,1,1,1
